V00	Pedestrian conveyance accident
	行人溜滑板時，在未特定是否為交通或非交通意外事故中與腳踏車碰撞受傷之後遺症
  V0199	Pedestrian with other conveyance injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident
	行人搭乘其他運輸工具時，在交通或非交通意外事故中與腳踏車碰撞受傷
    V0199xA	Pedestrian with other conveyance injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, initial encounter
	行人搭乘其他運輸工具時，在交通或非交通意外事故中與腳踏車碰撞受傷之初期照護
    V0199xD	Pedestrian with other conveyance injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, subsequent encounter
	行人搭乘其他運輸工具時，在交通或非交通意外事故中與腳踏車碰撞受傷之後續照護
    V0199xS	Pedestrian with other conveyance injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, sequela
	行人搭乘其他運輸工具時，在交通或非交通意外事故中與腳踏車碰撞受傷之後遺症
V02	Pedestrian injured in collision with two-or three-wheeled motor vehicle
	行人與兩輪或三輪機動車碰撞受傷
 V020	Pedestrian injured in collision with two-or three-wheeled motor vehicle in nontraffic acciddent
	行人在非交通意外事故中與兩輪或三輪機動車碰撞受傷
  V0200	Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
	行人步行時，在非交通意外事故中與兩輪或三輪機動車碰撞受傷
    V0200xA	Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter
	行人步行時，在非交通意外事故中與兩輪或三輪機動車碰撞受傷之初期照護
    V0200xD	Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter
	行人步行時，在非交通意外事故中與兩輪或三輪機動車碰撞受傷之後續照護
    V0200xS	Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela
	行人步行時，在非交通意外事故中與兩輪或三輪機動車碰撞受傷之後遺症
  V0201	Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
	行人溜直排輪時，在非交通意外事故中與兩輪或三輪機動車碰撞受傷
    V0201xA	Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter
	行人溜直排輪時，在非交通意外事故中與兩輪或三輪機動車碰撞受傷之初期照護
    V0201xD	Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter
	人溜直排輪時，在非交通意外事故中與兩輪或三輪機動車碰撞受傷之後續照護
    V0201xS	Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela
	人溜直排輪時，在非交通意外事故中與兩輪或三輪機動車碰撞受傷之後遺症
  V0202	Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
	行人溜滑板時，在非交通意外事故中與兩輪或三輪機動車碰撞受傷
    V0202xA	Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter
	行人溜滑板時，在非交通意外事故中與兩輪或三輪機動車碰撞受傷之初期照護
    V0202xD	Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter
	行人溜滑板時，在非交通意外事故中與兩輪或三輪機動車碰撞受傷之後續照護
    V0202xS	Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela
	行人溜滑板時，在非交通意外事故中與兩輪或三輪機動車碰撞受傷之後遺症
  V0209	Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
	行人搭乘其他運輸工具時，在非交通意外事故中與兩輪或三輪機動車碰撞受傷
    V0209xA	Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter
	行人搭乘其他運輸工具時，在非交通意外事故中與兩輪或三輪機動車碰撞受傷之初期照護
    V0209xD	Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter
	行人搭乘其他運輸工具時，在非交通意外事故中與兩輪或三輪機動車碰撞受傷之後續照護
    V0209xS	Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela
	行人搭乘其他運輸工具時，在非交通意外事故中與兩輪或三輪機動車碰撞受傷之後遺症
 V021	Pedestrian injured in collision with two-or three-wheeled motor vehicle in traffic accident
	行人在交通意外事故中與兩輪或三輪機動車碰撞受傷
  V0210	Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in traffic accident
	行人步行時，在交通意外事故中與兩輪或三輪機動車碰撞受傷
    V0210xA	Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter
	行人步行時，在交通意外事故中與兩輪或三輪機動車碰撞受傷之初期照護
    V0210xD	Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter
	行人步行時，在交通意外事故中與兩輪或三輪機動車碰撞受傷之後續照護
    V0210xS	Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela
	行人步行時，在交通意外事故中與兩輪或三輪機動車碰撞受傷之後遺症
  V0211	Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in traffic accident
	行人溜直排輪時，在交通意外事故中與兩輪或三輪機動車碰撞受傷
    V0211xA	Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter
	行人溜直排輪時，在交通意外事故中與兩輪或三輪機動車碰撞受傷之初期照護
    V0211xD	Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter
	行人溜直排輪時，在交通意外事故中與兩輪或三輪機動車碰撞受傷之後續照護
    V0211xS	Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela
	行人溜直排輪時，在交通意外事故中與兩輪或三輪機動車碰撞受傷之後遺症
  V0212	Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle in traffic accident
	行人溜滑板時，在交通意外事故中與兩輪或三輪機動車碰撞受傷
    V0212xA	Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter
	行人溜滑板時，在交通意外事故中與兩輪或三輪機動車碰撞受傷之初期照護
    V0212xD	Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter
	行人溜滑板時，在交通意外事故中與兩輪或三輪機動車碰撞受傷之後續照護
    V0212xS	Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela
	行人溜滑板時，在交通意外事故中與兩輪或三輪機動車碰撞受傷之後遺症
  V0219	Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in traffic accident
	行人搭乘其他運輸工具時，在交通意外事故中與兩輪或三輪機動車碰撞受傷
    V0219xA	Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter
	行人搭乘其他運輸工具時，在交通意外事故中與兩輪或三輪機動車碰撞受傷之初期照護
    V0219xD	Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter
	行人搭乘其他運輸工具時，在交通意外事故中與兩輪或三輪機動車碰撞受傷之後續照護
    V0219xS	Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela
	行人搭乘其他運輸工具時，在交通意外事故中與兩輪或三輪機動車碰撞受傷之後遺症
 V029	Pedestrian injured in collision with two- or three-wheeled motor vehicle unspecified whether traffic or nontraffic accident
	行人在交通或非交通意外事故中與兩輪或三輪機動車碰撞受傷
  V0290	Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident
	行人步行時，在交通或非交通意外事故中與兩輪或三輪機動車碰撞受傷
    V0290xA	Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, initial encounter
	行人步行時，在交通或非交通意外事故中與兩輪或三輪機動車碰撞受傷之初期照護
    V0290xD	Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter
	行人步行時，在交通或非交通意外事故中與兩輪或三輪機動車碰撞受傷之後續照護
    V0290xS	Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, sequela
	行人步行時，在交通或非交通意外事故中與兩輪或三輪機動車碰撞受傷之後遺症
  V0291	Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident
	行人溜直排輪時，在交通或非交通意外事故中與兩輪或三輪機動車碰撞受傷
    V0291xA	Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, initial encounter
	行人溜直排輪時，在交通或非交通意外事故中與兩輪或三輪機動車碰撞受傷之初期照護
    V0291xD	Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter
