S00	Superficial injury of head
	唇水泡(非熱性)之初期照護
    S00521D	Blister (nonthermal) of lip, subsequent encounter
	唇水泡(非熱性)之後續照護
    S00521S	Blister (nonthermal) of lip, sequela
	唇水泡(非熱性)之後遺症
   S00522	Blister (nonthermal) of oral cavity
	口腔水泡(非熱性)
    S00522A	Blister (nonthermal) of oral cavity, initial encounter
	口腔水泡(非熱性)之初期照護
    S00522D	Blister (nonthermal) of oral cavity, subsequent encounter
	口腔水泡(非熱性)之後續照護
    S00522S	Blister (nonthermal) of oral cavity, sequela
	口腔水泡(非熱性)之後遺症
  S0053	Contusion of lip and oral cavity
	唇及口腔鈍傷
   S00531	Contusion of lip
	唇鈍傷
    S00531A	Contusion of lip, initial encounter
	唇鈍傷之初期照護
    S00531D	Contusion of lip, subsequent encounter
	唇鈍傷之後續照護
    S00531S	Contusion of lip, sequela
	唇鈍傷之後遺症
   S00532	Contusion of oral cavity
	口腔鈍傷
    S00532A	Contusion of oral cavity, initial encounter
	口腔鈍傷之初期照護
    S00532D	Contusion of oral cavity, subsequent encounter
	口腔鈍傷之後續照護
    S00532S	Contusion of oral cavity, sequela
	口腔鈍傷之後遺症
  S0054	External constriction of lip and oral cavity
	唇及口腔外在攣縮
   S00541	External constriction of lip
	唇外在攣縮
    S00541A	External constriction of lip, initial encounter
	唇外在攣縮之初期照護
    S00541D	External constriction of lip, subsequent encounter
	唇外在攣縮之後續照護
    S00541S	External constriction of lip, sequela
	唇外在攣縮之後遺症
   S00542	External constriction of oral cavity
	口腔外在攣縮
    S00542A	External constriction of oral cavity, initial encounter
	口腔外在攣縮之初期照護
    S00542D	External constriction of oral cavity, subsequent encounter
	口腔外在攣縮之後續照護
    S00542S	External constriction of oral cavity, sequela
	口腔外在攣縮之後遺症
  S0055	Superficial foreign body of lip and oral cavity
	唇及口腔表淺性異物
   S00551	Superficial foreign body of lip
	唇表淺性異物
    S00551A	Superficial foreign body of lip, initial encounter
	唇 表淺性異物之初期照護
    S00551D	Superficial foreign body of lip, subsequent encounter
	唇 表淺性異物之後續照護
    S00551S	Superficial foreign body of lip, sequela
	唇 表淺性異物之後遺症
   S00552	Superficial foreign body of oral cavity
	口腔表淺性異物
    S00552A	Superficial foreign body of oral cavity, initial encounter
	口腔 表淺性異物之初期照護
    S00552D	Superficial foreign body of oral cavity, subsequent encounter
	口腔 表淺性異物之後續照護
    S00552S	Superficial foreign body of oral cavity, sequela
	口腔 表淺性異物之後遺症
  S0056	Insect bite (nonvenomous) of lip and oral cavity
	唇及口腔昆蟲叮咬(無毒性)
   S00561	Insect bite (nonvenomous) of lip
	唇昆蟲叮咬(無毒性)
    S00561A	Insect bite (nonvenomous) of lip, initial encounter
	唇昆蟲叮咬(無毒性)之初期照護
    S00561D	Insect bite (nonvenomous) of lip, subsequent encounter
	唇昆蟲叮咬(無毒性)之後續照護
    S00561S	Insect bite (nonvenomous) of lip, sequela
	唇昆蟲叮咬(無毒性)之後遺症
   S00562	Insect bite (nonvenomous) of oral cavity
	口腔昆蟲叮咬(無毒性)
    S00562A	Insect bite (nonvenomous) of oral cavity, initial encounter
	口腔昆蟲叮咬(無毒性)之初期照護
    S00562D	Insect bite (nonvenomous) of oral cavity, subsequent encounter
	口腔昆蟲叮咬(無毒性)之後續照護
    S00562S	Insect bite (nonvenomous) of oral cavity, sequela
	口腔昆蟲叮咬(無毒性)之後遺症
  S0057	Other superficial bite of lip and oral cavity
	唇及口腔其他表淺性叮咬
   S00571	Other superficial bite of lip
	唇其他表淺性叮咬
    S00571A	Other superficial bite of lip, initial encounter
	唇其他表淺性叮咬之初期照護
    S00571D	Other superficial bite of lip, subsequent encounter
	唇其他表淺性叮咬之後續照護
    S00571S	Other superficial bite of lip, sequela
	唇其他表淺性叮咬之後遺症
   S00572	Other superficial bite of oral cavity
	口腔其他表淺性叮咬
    S00572A	Other superficial bite of oral cavity, initial encounter
	口腔其他表淺性叮咬之初期照護
    S00572D	Other superficial bite of oral cavity, subsequent encounter
	口腔其他表淺性叮咬之後續照護
    S00572S	Other superficial bite of oral cavity, sequela
	口腔其他表淺性叮咬之後遺症
 S008	Superficial injury of other parts of head
	頭部其他部位之表淺損傷
  S0080	Unspecified superficial injury of other part of head
	頭部其他部位表淺損傷
    S0080xA	Unspecified superficial injury of other part of head, initial encounter
	頭部其他部位之表淺損傷之初期照護
    S0080xD	Unspecified superficial injury of other part of head, subsequent encounter
	頭部其他部位之表淺損傷之後續照護
    S0080xS	Unspecified superficial injury of other part of head, sequela
	頭部其他部位之表淺損傷之後遺症
  S0081	Abrasion of other part of head
	頭部其他部位擦傷
    S0081xA	Abrasion of other part of head, initial encounter
	頭部其他部位擦傷之初期照護
    S0081xD	Abrasion of other part of head, subsequent encounter
	頭部其他部位擦傷之後續照護
    S0081xS	Abrasion of other part of head, sequela
	頭部其他部位擦傷之後遺症
  S0082	Blister (nonthermal) of other part of head
	頭部其他部位水泡(非熱性)
    S0082xA	Blister (nonthermal) of other part of head, initial encounter
	頭部其他部位水泡(非熱性)之初期照護
    S0082xD	Blister (nonthermal) of other part of head, subsequent encounter
	頭部其他部位水泡(非熱性)之後續照護
    S0082xS	Blister (nonthermal) of other part of head, sequela
	頭部其他部位水泡(非熱性)之後遺症
  S0083	Contusion of other part of head
	頭部其他部位鈍傷
    S0083xA	Contusion of other part of head, initial encounter
	頭部其他部位鈍傷之初期照護
    S0083xD	Contusion of other part of head, subsequent encounter
	頭部其他部位鈍傷之後續照護
    S0083xS	Contusion of other part of head, sequela
	頭部其他部位鈍傷之後遺症
  S0084	External constriction of other part of head
	頭部其他部位外在攣縮
    S0084xA	External constriction of other part of head, initial encounter
	頭部其他部位外在攣縮之初期照護
    S0084xD	External constriction of other part of head, subsequent encounter
	頭部其他部位外在攣縮之後續照護
    S0084xS	External constriction of other part of head, sequela
	頭部其他部位外在攣縮之後遺症
  S0085	Superficial foreign body of other part of head
	頭部其他部位表淺性異物
    S0085xA	Superficial foreign body of other part of head, initial encounter
	頭部其他部位表淺性異物之初期照護
    S0085xD	Superficial foreign body of other part of head, subsequent encounter
	頭部其他部位表淺性異物之後續照護
    S0085xS	Superficial foreign body of other part of head, sequela
	頭部其他部位表淺性異物之後遺症
  S0086	Insect bite (nonvenomous) of other part of head
	頭部其他部位昆蟲叮咬(無毒性)
    S0086xA	Insect bite (nonvenomous) of other part of head, initial encounter
	頭部其他部位昆蟲叮咬(無毒性)之初期照護
    S0086xD	Insect bite (nonvenomous) of other part of head, subsequent encounter
	頭部其他部位昆蟲叮咬(無毒性)之後續照護
    S0086xS	Insect bite (nonvenomous) of other part of head, sequela
	頭部其他部位昆蟲叮咬(無毒性)之後遺症
  S0087	Other superficial bite of other part of head
	頭部其他部位其他表淺性叮咬
    S0087xA	Other superficial bite of other part of head, initial encounter
	頭部其他部位其他表淺性叮咬之初期照護
    S0087xD	Other superficial bite of other part of head, subsequent encounter
	頭部其他部位其他表淺性叮咬之後續照護
    S0087xS	Other superficial bite of other part of head, sequela
	頭部其他部位其他表淺性叮咬之後遺症
 S009	Superficial injury of unspecified part of head
	頭部未特定部位表淺損傷
  S0090	Unspecified superficial injury of unspecified part of head
	頭部未特定部位表淺損傷
    S0090xA	Unspecified superficial injury of unspecified part of head, initial encounter
	頭部未特定部位表淺損傷之之初期照護
    S0090xD	Unspecified superficial injury of unspecified part of head, subsequent encounter
	頭部未特定部位表淺損傷之後續照護
    S0090xS	Unspecified superficial injury of unspecified part of head, sequela
	頭部未特定部位表淺損傷之後遺症
  S0091	Abrasion of unspecified part of head
	頭部未特定部位擦傷
    S0091xA	Abrasion of unspecified part of head, initial encounter
	頭部未特定部位擦傷之初期照護
    S0091xD	Abrasion of unspecified part of head, subsequent encounter
	頭部未特定部位擦傷之後續照護
    S0091xS	Abrasion of unspecified part of head, sequela
	頭部未特定部位擦傷之後遺症
  S0092	Blister (nonthermal) of unspecified part of head
	頭部未特定部位水泡(非熱性)
    S0092xA	Blister (nonthermal) of unspecified part of head, initial encounter
	頭部未特定部位水泡(非熱性)之初期照護
    S0092xD	Blister (nonthermal) of unspecified part of head, subsequent encounter
	頭部未特定部位水泡(非熱性)之後續照護
    S0092xS	Blister (nonthermal) of unspecified part of head, sequela
	頭部未特定部位水泡(非熱性)之後遺症
  S0093	Contusion of unspecified part of head
	頭部未特定部位鈍傷
    S0093xA	Contusion of unspecified part of head, initial encounter
	頭部未特定部位鈍傷之初期照護
    S0093xD	Contusion of unspecified part of head, subsequent encounter
	頭部未特定部位鈍傷之後續照護
    S0093xS	Contusion of unspecified part of head, sequela
	頭部未特定部位鈍傷之後遺症
  S0094	External constriction of unspecified part of head
	頭部未特定部位外在攣縮
    S0094xA	External constriction of unspecified part of head, initial encounter
	頭部未特定部位外在攣縮之初期照護
    S0094xD	External constriction of unspecified part of head, subsequent encounter
	頭部未特定部位外在攣縮之後續照護
    S0094xS	External constriction of unspecified part of head, sequela
	頭部未特定部位外在攣縮之後遺症
  S0095	Superficial foreign body of unspecified part of head
	頭部未特定部位表淺性異物
    S0095xA	Superficial foreign body of unspecified part of head, initial encounter
	頭部未特定部位表淺性異物之初期照護
    S0095xD	Superficial foreign body of unspecified part of head, subsequent encounter
	頭部未特定部位表淺性異物之後續照護
    S0095xS	Superficial foreign body of unspecified part of head, sequela
	頭部未特定部位表淺性異物之後遺症
  S0096	Insect bite (nonvenomous) of unspecified part of head
	頭部未特定部位昆蟲叮咬(無毒性)
    S0096xA	Insect bite (nonvenomous) of unspecified part of head, initial encounter
	頭部未特定部位昆蟲叮咬(無毒性)之初期照護
    S0096xD	Insect bite (nonvenomous) of unspecified part of head, subsequent encounter
	頭部未特定部位昆蟲叮咬(無毒性)之後續照護
    S0096xS	Insect bite (nonvenomous) of unspecified part of head, sequela
	頭部未特定部位昆蟲叮咬(無毒性)之後遺症
  S0097	Other superficial bite of unspecified part of head
	頭部未特定部位其他表淺性叮咬
    S0097xA	Other superficial bite of unspecified part of head, initial encounter
	頭部未特定部位其他表淺性叮咬之初期照護
    S0097xD	Other superficial bite of unspecified part of head, subsequent encounter
	頭部未特定部位其他表淺性叮咬之後續照護
    S0097xS	Other superficial bite of unspecified part of head, sequela
	頭部未特定部位其他表淺性叮咬之後遺症
S01	Open wound of head
	頭部開放性傷口
 S010	Open wound of scalp
	頭皮開放性傷口
  S0100	Unspecified open wound of scalp
	頭皮開放性傷口
    S0100xA	Unspecified open wound of scalp, initial encounter
	頭皮開放性傷口之初期照護
    S0100xD	Unspecified open wound of scalp, subsequent encounter
	頭皮開放性傷口之後續照護
    S0100xS	Unspecified open wound of scalp, sequela
	頭皮開放性傷口之後遺症
  S0101	Laceration without foreign body of scalp
	頭皮撕裂傷未伴有異物
    S0101xA	Laceration without foreign body of scalp, initial encounter
	頭皮撕裂傷未伴有異物之初期照護
    S0101xD	Laceration without foreign body of scalp, subsequent encounter
	頭皮撕裂傷未伴有異物之後續照護
    S0101xS	Laceration without foreign body of scalp, sequela
	頭皮撕裂傷未伴有異物之後遺症
  S0102	Laceration with foreign body of scalp
	頭皮撕裂傷伴有異物
    S0102xA	Laceration with foreign body of scalp, initial encounter
	頭皮撕裂傷伴有異物之初期照護
    S0102xD	Laceration with foreign body of scalp, subsequent encounter
