H00	Hordeolum and chalazion
   H02811	Retained foreign body in right upper eyelid
	右側上眼瞼異物滯留
   H02812	Retained foreign body in right lower eyelid
	右側下眼瞼異物滯留
   H02813	Retained foreign body in right eye, unspecified eyelid
	右側眼瞼異物滯留，未特定上或下眼瞼
   H02814	Retained foreign body in left upper eyelid
	左側上眼瞼異物滯留
   H02815	Retained foreign body in left lower eyelid
	左側下眼瞼異物滯留
   H02816	Retained foreign body in left eye, unspecified eyelid
	左側眼瞼異物滯留，未特定上或下眼瞼
   H02819	Retained foreign body in unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之眼瞼異物滯留
  H0282	Cysts of eyelid
	眼瞼囊腫
   H02821	Cysts of right upper eyelid
	右側上眼瞼囊腫
   H02822	Cysts of right lower eyelid
	右側下眼瞼囊腫
   H02823	Cysts of right eye, unspecified eyelid
	右側眼瞼囊腫，未特定上或下眼瞼
   H02824	Cysts of left upper eyelid
	左側上眼瞼囊腫
   H02825	Cysts of left lower eyelid
	左側下眼瞼囊腫
   H02826	Cysts of left eye, unspecified eyelid
	左側眼瞼囊腫，未特定上或下眼瞼
   H02829	Cysts of unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之眼瞼囊腫
  H0283	Dermatochalasis of eyelid
	眼瞼皮鬆弛
   H02831	Dermatochalasis of right upper eyelid
	右側上眼瞼皮鬆弛
   H02832	Dermatochalasis of right lower eyelid
	右側下眼瞼皮鬆弛
   H02833	Dermatochalasis of right eye, unspecified eyelid
	右側眼瞼皮鬆弛，未特定上或下眼瞼
   H02834	Dermatochalasis of left upper eyelid
	左側上眼瞼皮鬆弛
   H02835	Dermatochalasis of left lower eyelid
	左側下眼瞼皮鬆弛
   H02836	Dermatochalasis of left eye, unspecified eyelid
	左側眼瞼皮鬆弛，未特定上或下眼瞼
   H02839	Dermatochalasis of unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之眼瞼皮鬆弛
  H0284	Edema of eyelid
	眼瞼水腫
   H02841	Edema of right upper eyelid
	右側上眼瞼水腫
   H02842	Edema of right lower eyelid
	右側下眼瞼水腫
   H02843	Edema of right eye, unspecified eyelid
	右側眼瞼水腫，未特定上或下眼瞼
   H02844	Edema of left upper eyelid
	左側上眼瞼水腫
   H02845	Edema of left lower eyelid
	左側下眼瞼水腫
   H02846	Edema of left eye, unspecified eyelid
	左側眼瞼水腫，未特定上或下眼瞼
   H02849	Edema of unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之眼瞼水腫
  H0285	Elephantiasis of eyelid
	眼瞼象皮病
   H02851	Elephantiasis of right upper eyelid
	右側上眼瞼象皮病
   H02852	Elephantiasis of right lower eyelid
	右側下眼瞼象皮病
   H02853	Elephantiasis of right eye, unspecified eyelid
	右側眼瞼象皮病，未特定上或下眼瞼
   H02854	Elephantiasis of left upper eyelid
	左側上眼瞼象皮病
   H02855	Elephantiasis of left lower eyelid
	左側下眼瞼象皮病
   H02856	Elephantiasis of left eye, unspecified eyelid
	左側眼瞼象皮病，未特定上或下眼瞼
   H02859	Elephantiasis of unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之眼瞼象皮病
  H0286	Hypertrichosis of eyelid
	眼瞼多毛症
   H02861	Hypertrichosis of right upper eyelid
	右側上眼瞼多毛症
   H02862	Hypertrichosis of right lower eyelid
	右側下眼瞼多毛症
   H02863	Hypertrichosis of right eye, unspecified eyelid
	右側眼瞼多毛症，未特定上或下眼瞼
   H02864	Hypertrichosis of left upper eyelid
	左側上眼瞼多毛症
   H02865	Hypertrichosis of left lower eyelid
	左側下眼瞼多毛症
   H02866	Hypertrichosis of left eye, unspecified eyelid
	左側眼瞼多毛症，未特定上或下眼瞼
   H02869	Hypertrichosis of unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之眼瞼多毛症
  H0287	Vascular anomalies of eyelid
	眼瞼血管異常
   H02871	Vascular anomalies of right upper eyelid
	右側上眼瞼血管異常
   H02872	Vascular anomalies of right lower eyelid
	右側下眼瞼血管異常
   H02873	Vascular anomalies of right eye, unspecified eyelid
	右側眼瞼血管異常，未特定上或下眼瞼
   H02874	Vascular anomalies of left upper eyelid
	左側上眼瞼血管異常
   H02875	Vascular anomalies of left lower eyelid
	左側下眼瞼血管異常
   H02876	Vascular anomalies of left eye, unspecified eyelid
	左側眼瞼血管異常，未特定上或下眼瞼
   H02879	Vascular anomalies of unspecified eye, unspecified eyelid
	未特定左側、右側眼及上或下之眼瞼血管異常
  H0289	Other specified disorders of eyelid
	其它特定之眼瞼疾患
 H029	Unspecified disorder of eyelid
	眼瞼疾患
H04	Disorders of lacrimal system
	淚道系統之疾患
 H040	Dacryoadenitis
	淚腺炎
  H0400	Unspecified dacryoadenitis
	淚腺炎
   H04001	Unspecified dacryoadenitis, right lacrimal gland
	右側淚腺炎
   H04002	Unspecified dacryoadenitis, left lacrimal gland
	左側淚腺炎
   H04003	Unspecified dacryoadenitis, bilateral lacrimal glands
	雙側淚腺炎
   H04009	Unspecified dacryoadenitis, unspecified lacrimal gland
	未特定側性之淚腺炎
  H0401	Acute dacyoadenitis
	急性淚腺炎
   H04011	Acute dacryoadenitis, right lacrimal gland
	右側急性淚腺炎
   H04012	Acute dacryoadenitis, left lacrimal gland
	左側急性淚腺炎
   H04013	Acute dacryoadenitis, bilateral lacrimal glands
	雙側急性淚腺炎
   H04019	Acute dacryoadenitis, unspecified lacrimal gland
	未特定側性之急性淚腺炎
  H0402	Chronic dacryoadenitis
	慢性淚腺炎
   H04021	Chronic dacryoadenitis, right lacrimal gland
	右側慢性淚腺炎
   H04022	Chronic dacryoadenitis, left lacrimal gland
	左側慢性淚腺炎
   H04023	Chronic dacryoadenitis, bilateral lacrimal gland
	雙側慢性淚腺炎
   H04029	Chronic dacryoadenitis, unspecified lacrimal gland
	未特定側性之慢性淚腺炎
  H0403	Chronic enlargement of lacrimal gland
	淚腺慢性腫大
   H04031	Chronic enlargement of right lacrimal gland
	右側淚腺慢性腫大
   H04032	Chronic enlargement of left lacrimal gland
	左側淚腺慢性腫大
   H04033	Chronic enlargement of bilateral lacrimal glands
	雙側淚腺慢性腫大
   H04039	Chronic enlargement of unspecified lacrimal gland
	未特定側性之慢性淚腺腫大
 H041	Other disorders of lacrimal gland
	其他淚腺疾患
  H0411	Dacryops
	淚管積液（淚眼）
   H04111	Dacryops of right lacrimal gland
	右側淚管積液（淚眼）
   H04112	Dacryops of left lacrimal gland
	左側淚管積液（淚眼）
   H04113	Dacryops of bilateral lacrimal glands
	雙側淚管積液（淚眼）
   H04119	Dacryops of unspecified lacrimal gland
	未特定側性之淚管積液（淚眼）
  H0412	Dry eye syndrome
	乾眼症
   H04121	Dry eye syndrome of right lacrimal gland
	右側淚腺乾眼症
   H04122	Dry eye syndrome of left lacrimal gland
	左側淚腺乾眼症
   H04123	Dry eye syndrome of bilateral lacrimal glands
	雙側淚腺乾眼症
   H04129	Dry eye syndrome of unspecified lacrimal gland
	未特定側性之淚腺乾眼症
  H0413	Lacrimal cyst
	淚管囊腫
   H04131	Lacrimal cyst right lacrimal gland
	右側淚管囊腫
   H04132	Lacrimal cyst left lacrimal gland
	左側淚管囊腫
   H04133	Lacrimal cyst bilateral lacrimal glands
	雙側淚管囊腫
   H04139	Lacrimal cyst unspecified lacrimal gland
	未特定側性之淚管囊腫
  H0414	Primary lacrimal gland atrophy
	原發性淚腺萎縮
   H04141	Right primary lacrimal gland atrophy
	右側原發性淚腺萎縮
   H04142	Left primary lacrimal gland atrophy
	左側原發性淚腺萎縮
   H04143	Bilateral primary lacrimal gland atrophy
	雙側原發性淚腺萎縮
   H04149	Unspecified primary lacrimal gland atrophy
	原發性淚腺萎縮
  H0415	Secondary lacrimal gland atrophy
	續發性淚腺萎縮
   H04151	Right secondary lacrimal gland atrophy
	右側續發性淚腺萎縮
   H04152	Left secondary lacrimal gland atrophy
	左側續發性淚腺萎縮
   H04153	Bilateral secondary lacrimal gland atrophy
	雙側續發性淚腺萎縮
   H04159	Unspecified secondary lacrimal gland atrophy
	續發性淚腺萎縮
  H0416	Lacrimal gland dislocation
	淚腺脫位
   H04161	Right lacrimal gland dislocation
	右側淚腺脫位
   H04162	Left lacrimal gland dislocation
	左側淚腺脫位
   H04163	Bilateral lacrimal gland dislocation
	雙側淚腺脫位
   H04169	Unspecified lacrimal gland dislocation
	淚腺脫位
  H0419	Other disorders of lacrimal gland
	其它淚腺疾患
 H042	Epiphora
	溢淚
  H0420	Unspecified epiphora
	溢淚
   H04201	Epiphora, right side
	右側溢淚
   H04202	Epiphora, left side
	左側溢淚
   H04203	Epiphora, bilateral
	雙側溢淚
   H04209	Epiphora, unspecified side
	未特定側性之溢淚
  H0421	Epiphora due to excess lacrimation
	淚液分泌過多造成之溢淚
   H04211	Epiphora due to excess lacrimation, right side
	右側淚液分泌過多造成之溢淚
   H04212	Epiphora due to excess lacrimation, left side
	左側淚液分泌過多造成之溢淚
   H04213	Epiphora due to excess lacrimation, bilateral
	雙側淚液分泌過多造成之溢淚
   H04219	Epiphora due to excess lacrimation, unspecified side
	未特定側性之淚液分泌過多造成的溢淚
  H0422	Epiphora due to insufficient drainage
	排液功能不足造成之溢淚
   H04221	Epiphora due to insufficient drainage, right side
	右側排液功能不足造成之溢淚
   H04222	Epiphora due to insufficient drainage, left side
	左側排液功能不足造成之溢淚
   H04223	Epiphora due to insufficient drainage, bilateral
	雙側排液功能不足造成之溢淚
   H04229	Epiphora due to insufficient drainage, unspecified side
	未特定側性之排液功能不足造成的溢淚
 H043	Acute and unspecified inflammation of lacrimal passages
	淚道急性及未特定之發炎
  H0430	Unspecified dacryocystitis
	淚囊炎
   H04301	Unspecified dacryocystitis of right lacrimal passage
	右側淚囊炎
   H04302	Unspecified dacryocystitis of left lacrimal passage
	左側淚囊炎
   H04303	Unspecified dacryocystitis of bilateral lacrimal passages
	雙側淚囊炎
   H04309	Unspecified dacryocystitis of unspecified lacrimal passage
	未特定側性之淚囊炎
  H0431	Phlegmonous dacryocystitis
	蜂窩組織性淚囊炎
   H04311	Phlegmonous dacryocystitis of right lacrimal passage
	右側淚道蜂窩組織性淚囊炎
   H04312	Phlegmonous dacryocystitis of left lacrimal passage
	左側淚道蜂窩組織性淚囊炎
   H04313	Phlegmonous dacryocystitis of bilateral lacrimal passages
	雙側淚道蜂窩組織性淚囊炎
   H04319	Phlegmonous dacryocystitis of unspecified lacrimal passage
	未特定淚道之蜂窩組織性淚囊炎
  H0432	Acute dacryocystitis
	急性淚囊炎
   H04321	Acute dacryocystitis of right lacrimal passage
	右側淚道急性淚囊炎
   H04322	Acute dacryocystitis of left lacrimal passage
	左側淚道急性淚囊炎
   H04323	Acute dacryocystitis of bilateral lacrimal passages
	雙側淚道急性淚囊炎
   H04329	Acute dacryocystitis of unspecified lacrimal passage
	未特定淚道之急性淚囊炎
  H0433	Acute lacrimal canaliculitis
	急性淚小管炎
   H04331	Acute lacrimal canaliculitis of right lacrimal passage
	右側淚道急性淚小管炎
   H04332	Acute lacrimal canaliculitis of left lacrimal passage
	左側淚道急性淚小管炎
   H04333	Acute lacrimal canaliculitis of bilateral lacrimal passages
	雙側淚道急性淚小管炎
   H04339	Acute lacrimal canaliculitis of unspecified lacrimal passage
	未特定淚道之急性淚小管炎
 H044	Chronic inflammation of lacrimal passages
	慢性淚道發炎
  H0441	Chronic dacryocystitis
	慢性淚囊炎
   H04411	Chronic dacryocystitis of right lacrimal passage
	右側淚道慢性淚囊炎
   H04412	Chronic dacryocystitis of left lacrimal passage
	左側淚道慢性淚囊炎
   H04413	Chronic dacryocystitis of bilateral lacrimal passages
	雙側淚道慢性淚囊炎
   H04419	Chronic dacryocystitis of unspecified lacrimal passage
	未特定淚道之慢性淚囊炎
  H0442	Chronic lacrimal canaliculitis
	慢性淚小管炎
   H04421	Chronic lacrimal canaliculitis of right lacrimal passage
	右側淚道慢性淚小管炎
   H04422	Chronic lacrimal canaliculitis of left lacrimal passage
	左側淚道慢性淚小管炎
   H04423	Chronic lacrimal canaliculitis of bilateral lacrimal passages
	雙側淚道慢性淚小管炎
   H04429	Chronic lacrimal canaliculitis of unspecified lacrimal passage
	未特定淚道之慢性淚小管炎
  H0443	Chronic lacrimal mucocele
	慢性淚黏液囊腫
   H04431	Chronic lacrimal mucocele of right lacrimal passage
	右側慢性淚道黏液囊腫
   H04432	Chronic lacrimal mucocele of left lacrimal passage
	左側慢性淚道黏液囊腫
   H04433	Chronic lacrimal mucocele of bilateral lacrimal passages
	雙側慢性淚道黏液囊腫
   H04439	Chronic lacrimal mucocele of unspecified lacrimal passage
	未特定淚道之慢性淚道黏液囊腫
 H045	Stenosis and insufficiency of lacrimal passages
	淚道狹窄及功能不足
  H0451	Dacryolith
	淚石症
   H04511	Dacryolith of right lacrimal passage
	右側淚道淚石症
   H04512	Dacryolith of left lacrimal passage
	左側淚道淚石症
   H04513	Dacryolith of bilateral lacrimal passages
	雙側淚道淚石症
   H04519	Dacryolith of unspecified lacrimal passage
	未特定側性之淚道淚石症
  H0452	Eversion of lacrimal punctum
	淚點外翻
   H04521	Eversion of right lacrimal punctum
	右側淚點外翻
   H04522	Eversion of left lacrimal punctum
	左側淚點外翻
   H04523	Eversion of bilateral lacrimal punctum
	雙側淚點外翻
   H04529	Eversion of unspecified lacrimal punctum
	未特定側性之淚點外翻
  H0453	Neonatal obstruction of nasolacrimal duct
	新生兒鼻淚管阻塞
   H04531	Neonatal obstruction of right nasolacrimal duct
	新生兒右側鼻淚管阻塞
   H04532	Neonatal obstruction of left nasolacrimal duct
	新生兒左側鼻淚管阻塞
   H04533	Neonatal obstruction of bilateral nasolacrimal duct
	新生兒雙側鼻淚管阻塞
   H04539	Neonatal obstruction of unspecified nasolacrimal duct
	未特定側性之新生兒鼻淚管阻塞
  H0454	Stenosis of lacrimal canaliculi
	淚小管狹窄
   H04541	Stenosis of right lacrimal canaliculi
	右側淚小管狹窄
   H04542	Stenosis of left lacrimal canaliculi
	左側淚小管狹窄
   H04543	Stenosis of bilateral lacrimal canaliculi
	雙側淚小管狹窄
   H04549	Stenosis of unspecified lacrimal canaliculi
	未特定側性之淚小管狹窄
  H0455	Acquired stenosis of nasolacrimal duct
	後天性鼻淚管狹窄
   H04551	Acquired stenosis of right nasolacrimal duct
	後天性右側鼻淚管狹窄
   H04552	Acquired stenosis of left nasolacrimal duct
	後天性左側鼻淚管狹窄
   H04553	Acquired stenosis of bilateral nasolacrimal duct
	後天性雙側鼻淚管狹窄
   H04559	Acquired stenosis of unspecified nasolacrimal duct
	後天性未特定側性之鼻淚管狹窄
  H0456	Stenosis of lacrimal punctum
	淚點狹窄
   H04561	Stenosis of right lacrimal punctum
	右側淚點狹窄
   H04562	Stenosis of left lacrimal punctum
	左側淚點狹窄
   H04563	Stenosis of bilateral lacrimal punctum
	雙側淚點狹窄
   H04569	Stenosis of unspecified lacrimal punctum
	未特定側性之淚點狹窄
  H0457	Stenosis of lacrimal sac
	淚囊狹窄
   H04571	Stenosis of right lacrimal sac
	右側淚囊狹窄
   H04572	Stenosis of left lacrimal sac
	左側淚囊狹窄
   H04573	Stenosis of bilateral lacrimal sac
	雙側淚囊狹窄
   H04579	Stenosis of unspecified lacrimal sac
	未特定側性之淚囊狹窄
 H046	Other changes of lacrimal passages
	淚道之其他變化
  H0461	Lacrimal fistula
	淚道簍管
   H04611	Lacrimal fistula right lacrimal passage
	右側淚道簍管
   H04612	Lacrimal fistula left lacrimal passage
	左側淚道簍管
   H04613	Lacrimal fistula bilateral lacrimal passages
	雙側淚道簍管
   H04619	Lacrimal fistula unspecified lacrimal passage
	未特定側性之淚道簍管
  H0469	Other changes of lacrimal passages
	淚道之其他變化
 H048	Other disorders of lacrimal system
	淚道系統之其他疾患
  H0481	Granuloma of lacrimal passage
	淚道肉芽腫
   H04811	Granuloma of right lacrimal passage
	右側淚道肉芽腫
   H04812	Granuloma of left lacrimal passage
	左側淚道肉芽腫
   H04813	Granuloma of bilateral lacrimal passages
	雙側淚道肉芽腫
   H04819	Granuloma of unspecified lacrimal passage
